revision_id,property_id,value_id,old_value,new_value,my_label,Annotator,other_annotator_label,Notes
2351022060,-2,description,"""Anthropology professor (1930-2008)""","""American anthropology professor (1938-2008)""",refinement,lisa,refinement,
1602516043,-2,description,"""Formula One race""","""Formula One motor race""",refinement,lisa,refinement,
1606476859,-2,description,"""italian religious and scholar""","""Italian priest and scholar""",refinement,lisa,refinement,
2102285846,-2,description,"""musical artist""","""American guitarist""",refinement,lore,refinement,
483162,-2,description,"""a province in the Netherlands""","""one of the twelve provinces of the Netherlands""",refinement,lore,refinement,
2345458318,-2,description,"""village in Kilis, Turkey""","""village in Kilis Merkez, Turkey""",refinement,lore,property_value_update,
643289802,-2,description,"""Italian comune""","""fromer italian comune""",property_value_update,lore,property_value_update,
2184266401,-2,description,"""film""","""2016 film directed by F. Fiaz""",refinement,lisa,refinement,
383528766,-2,description,"""human gene""","""gene of the species Homo sapiens""",refinement,lisa,refinement,
572657038,-1,label,"""list of National Highways in India""","""List of National Highways in India by State""","textual_change, refinement",lore,"refinement, textual_change",
2189992396,-1,label,"""Arbirlot, Manse""","""Manse, Arbirlot""",refinement,lore,refinement,
1207785211,-2,description,"""relationship between two persons that exists for only a short time""","""brief relationship between two or more persons""",refinement,lisa,refinement,
2260119322,-1,label,"""Choce\u0148 Castle Kitchen garden""","""Set of buildings and greenhouses, Choce\u0148 Castle""",unrefinement,lisa,refinement,
558492217,-2,description,"""national park and a national shrine located in Quezon City, Philippines""","""national park in Quezon City, Philippines containing the Quezon Memorial Shrine""",refinement,lisa,refinement,
1063625014,-2,description,"""d. 1854""","""(1803-1854)""",refinement,lore,property_value_update,
1158573609,-2,description,"""dance-punk band from Sacramento, California""","""dance-punk band from Sacramento, California, United States""",refinement,lore,refinement,
1897064066,373,Q365872$F5988E6F-86E0-4E7B-8733-A2551A3EFC1F,"""Rotrou III of Perche""","""Rotrou III, Count of Perche""",refinement,lore,refinement,
1537576251,-2,description,"""baseball player""","""Japanese baseball player (1990-)""",refinement,lore,refinement,
584015200,-1,label,"""Jasenovac concentration camp""","""Jasenovac I concentration camp""",refinement,lore,property_value_update,
1465553465,-2,description,"""Brewhouse of the form Ulmer Muenster brewery in Ulm""","""Brewhouse of the former Ulmer Muenster brewery in Ulm""",textual_change,lisa,textual_change,
477743537,-1,label,"""Mercerising""","""Mercerizing""",textual_change,lisa,textual_change,
260208822,-2,description,"""Austrian composer""","""Austuriann composer""",textual_change,lisa,textual_change,
62536841,-2,description,"""birg genus""","""bird genus""",textual_change,lisa,textual_change,
1602629130,-2,description,"""Formula One motor event""","""Formula One motor race""",refinement,lore,refinement,
1825600347,-2,description,"""person who has been elected to the legislative body of the Citiy of Zurich, Switzerland""","""person who has been elected to the legislative body of the City of Zurich, Switzerland""",textual_change,lisa,textual_change,
634080176,-2,description,"""family nams""","""family name""",textual_change,lisa,textual_change,
2027870189,-2,description,"""Han dynasty military personal""","""Han dynasty military personnel""",textual_change,lisa,textual_change,
303377758,-2,description,"""Dutch football player""","""Dutch footballer""",textual_change,lisa,textual_change,
1393608440,-1,label,"""gray""","""grey""",textual_change,lisa,textual_change,
241863582,-2,description,"""play be Peter Shafer""","""play by Peter Shafer""",textual_change,lisa,textual_change,
877286435,-1,label,"""Portsmouth City Council election, 2014""","""2014 Portsmouth City Council election""",refinement,lisa,refinement,
5649994,-2,description,"""A state in the US Midwest""","""U.S. state in the Midwest""","refinement, textual_change",lore,"refinement, textual_change",
472027004,-1,label,"""Histone cluster 1 H4 family member c""","""Histone cluster 4 H4""",property_value_update,lisa,"textual_change, unrefinement",
1836387815,-2,description,"""legendary ancient Chinese tribal leader and culture hero, supposedly the grandson of the Yellow Emperor""","""Legendary ancient Chinese emperor""",property_value_update,lisa,unrefinement,
302816920,-1,label,"""natriuretic peptide B""","""Natriuretic peptides B""",textual_change,lore,textual_change,
12856435,-2,description,"""An italian city and commune""","""Italian comune""",unrefinement,lore,refinement,
345059755,-1,label,"""Bayonet Point, Florida""","""Bayonet Point""",unrefinement,lore,"refinement, property_value_update",
994919021,-2,description,"""svedish zoologist""","""Swedish zoologist""",textual_change,lore,textual_change,
995844297,-1,label,"""Kenny J. Travouillon""","""Kenny Travouillon""",unrefinement,lore,refinement,
704675443,-2,description,"""Spanish association football club""","""Spanish football club""",unrefinement,lore,unrefinement,
678516531,-1,label,"""Essen-Borbeck-Mitte""","""Borbeck-Mitte""",unrefinement,lore,property_value_update,
1047393385,2191,Q448421$4D87F58E-1995-4508-9CDB-307B6D40C56E,"""NILF24780""","""24780""",unrefinement,lore,unrefinement,
24823719,-2,description,"""bicyclic sesquiterpene""","""cyclic sesquiterpene""",unrefinement,lore,unrefinement,
418394338,-2,description,"""functional constituency on Hong Kong""","""functional constituency of Hong Kong""",textual_change,lore,textual_change,
292397998,590,Q79629$E60A24F4-8039-49B7-8808-F76103B9DD60,"""0083316""","""83316""",unrefinement,lore,unrefinement,
9835641,-2,description,"""A second level administrative division of Russia""","""An intermediate administrative division of Russia""",unrefinement,lore,unrefinement,
1797201414,18,Q455899$41360778-FEB4-42E3-8918-B49F34CA584C,"""Lucyna Winnicka.JPG""","""Lucyna Winnicka (portret 1).jpg""","refinement, textual_change",lore,"refinement, textual_change",
341760134,1015,Q315728$F76F913C-A7C3-46E9-85C0-77CEB7E1F9C3,"""x13036539""","""13036539""",unrefinement,lore,unrefinement,
2216589521,-2,description,"""1983 animated film directed by Ralph Bakshi""","""1983 animated film by Ralph Bakshi""",unrefinement,lore,textual_change,
2114867581,-2,description,"""heir apparent to the throne of the United Kingdom & 14 Commonwealth Realms""","""heir apparent to the throne of the United Kingdom and 14 Commonwealth Realms""",textual_change,lore,textual_change,
187126750,-2,description,"""municipality in the Netherlands""","""village""",property_value_update,lore,property_value_update,
2079174182,-2,description,"""overview anout the cinema of Mongolia""","""overview about the cinema of Mongolia""",textual_change,lore,textual_change,
774996386,-1,label,"""millimetre""","""millimeter""",textual_change,lore,textual_change,
1585189475,268,Q248326$521aed80-45f0-f812-4d25-b7db320abb3c,"""cb15386117""","""15386117""",unrefinement,lore,unrefinement,
501471,-2,description,"""A region in Italy""","""region of Italy""",textual_change,lore,textual_change,
1180666511,-2,description,"""national trade union center in Tunisia""","""Tunisian trade union""",unrefinement,lore,property_value_update,
473933420,-1,label,"""Schmidt, Jakob Friedrich 1730 1796""","""Jakob Friedrich Schmidt""",unrefinement,lore,unrefinement,
250993417,-2,description,"""species of arthropods""","""species of crustacean""",refinement,lore,property_value_update,
423789256,-1,label,"""Protein jagged-1""","""Jagged 1""","textual_change, unrefinement",lore,property_value_update,
242446949,-2,description,"""genus of flies""","""genus of insects""",unrefinement,lore,unrefinement,
1852294186,-2,description,"""New York,H. Holt,1911. | University of California Libraries (archive.org) View Book""","""New York, H. Holt, 1911.""",unrefinement,lore,unrefinement,
609932356,-1,label,"""Category:Křižíkova (Mariánské Lázně)""","""Křižíkova (Mariánské Lázně)""",unrefinement,lore,textual_change,
1501662708,1368,Q108615802$3b3ee882-4313-a5b3-14f1-e3672a2d36ee,"""LNC10-000124520""","""000124520""",unrefinement,lore,unrefinement,
2108147625,-1,label,"""Pierre Machabert""","""Pierre Chabert""",property_value_update,lore,property_value_update,
2219110903,-2,description,"""species of spiders""","""species of spider""",textual_change,lore,"property_value_update, refinement",
1142958484,-1,label,"""Championship Manager 93/94""","""Championship Manager '93""",unrefinement,lore,property_value_update,
2349851644,6839,Q124734777$6d5ae816-4107-9032-2de5-37988f93f0fc,"""Fanboy""","""Main/Fanboy""",refinement,lore,property_value_update,
501154497,-2,description,"""Professor of Plant Biology and of Crop Sciences, University of Illinois, Urbana-Champaign""","""Professor of Plant Biology & Crop Sciences at the University of Illinois, Urbana-Champaign""",textual_change,lore,textual_change,
1852925379,-2,description,"""Boston :Pub. by the author,1887. | University Library, University of Illinois Urbana Champaign View Book""","""Boston: Pub. by the author, 1887.""","textual_change, unrefinement",lore,"textual_change, unrefinement",
1531619060,-1,label,"""Aleksandr Pawłowicz Jefimow""","""Aleksandr Yefimov""","textual_change, unrefinement",lore,"property_value_update, refinement",
1548745466,-2,description,"""Romanian-South Korean basketball player""","""Romanian–South Korean basketball player""",textual_change,lore,textual_change,
537718149,345,Q6509272$7043366e-4936-48cb-f20b-c309197737b0,"""nm001559542""","""nm1559542""",property_value_update,lore,property_value_update,
1001022947,-1,label,"""Transport of bile salts and organic acids; metal ions and amine compounds""","""Transport of bile salts and organic acids, metal ions and amine compounds""",textual_change,lore,textual_change,
1436115552,-2,description,"""Actress, singer & model (1928-2011)""","""actress, singer and model (1928-2011)""",textual_change,lore,textual_change,
2062566137,213,Q123580585$a40fece7-4481-a930-636b-ddfc281941f5,"""0000 0003 5624 3231""","""0000000 3 5624 3231""",textual_change,lore,textual_change,
923783738,-2,description,"""Vitamin D5 - Fat soluble Vitamin""","""fat soluble vitamin""","textual_change, unrefinement",lore,"property_value_update, unrefinement",
559166536,-2,description,"""A sarcoma and malignant neoplasm of penis that is located_in the penis.""","""sarcoma and malignant neoplasm of penis that is located in the penis""",textual_change,lore,textual_change,
838354203,373,Q41074339$983c3d5b-48f2-1ce8-9c44-acfe122c61f2,"""Ancient Greek theatre (Maroneia)""","""Ancient Greek theatre of Maroneia""",textual_change,lore,textual_change,
301127427,-2,description,"""Afghan former cricketer""","""Afghan cricketer""",property_value_update,lore,property_value_update,
1766007819,-1,label,"""A1016. Pseudo-scientific explanations of the flood.""","""Pseudo-scientific explanations of the flood""","textual_change, unrefinement",lore,"textual_change, unrefinement",
1766039806,-1,label,"""A2494.12. Miscellaneous enmities of mammals.""","""Miscellaneous enmities of mammals""","textual_change, unrefinement",lore,"textual_change, unrefinement",
989897970,-2,description,"""Taluk in Alappuzha District, Kerala, India""","""taluk in Kerala, India""","textual_change, unrefinement",lore,"property_value_update, unrefinement",
1036406498,-2,description,"""French crime writer""","""French writer""",unrefinement,lore,"property_value_update, unrefinement",
884577715,-2,description,"""building of Saint Petersburg, Russia""","""building of Russia""",unrefinement,lore,"property_value_update, unrefinement",
